QUOTE_ID,REFRESH_MONTH,CUSTOMER_NAME,INDUSTRY,CREATION_DATE,COUNTRY,PRODUCT_NAME,QUANTITY,LISTPRICE,MANUFACTURING_COST,QUOTED_PRICE,OPTIMUM_PRICE,PROB_WIN_OPTIMAL,OPTIMAL_LOWER,OPTIMAL_HIGHER,PROB_WIN_ACTUAL
552,SEP,US Auto Supplier 316,E,2015-01-10,USA,MODEL:ZR250VSDA8,2,4201.575,1518.986,4201.575,3389.0472459211696,0.20586533813653676,4201.575,4201.575,0.13043048491413212
553,SEP,US Auto Supplier 316,E,2015-09-30,USA,MODEL:ZR250VSDA8,2,4201.575,1518.986,4201.575,3389.0472459211696,0.20586533813653676,4201.575,4201.575,0.13043048491413212
554,SEP,US Auto Supplier 316,E,2015-02-10,USA,MODEL:ZR250VSDA8,2,4201.575,1518.986,4201.575,3389.0472459211696,0.20586533813653676,4201.575,4201.575,0.13043048491413212
555,SEP,US Auto Supplier 316,E,2015-01-10,USA,MODEL:ZR250VSDA8,2,4201.575,1518.986,4201.575,3389.0472459211696,0.20586533813653676,4201.575,4201.575,0.13043048491413212
556,SEP,US Auto Supplier 236,B,2015-07-08,USA,MODEL:ZR250VSDA8,1,4033.275,2076.636,4033.275,3884.9480695805046,0.21164099413317305,4033.275,4033.275,0.19480153877973566
557,SEP,US Auto Supplier 622,E,2016-04-03,USA,MODEL:ZR250VSDA8,1,4036.85,1560.513,4036.85,3472.925348088378,0.25387321357105874,4036.85,4036.85,0.18644615445401697
558,SEP,US Auto Supplier 52,B,2015-05-13,USA,MODEL:ZR250VSDA8,1,4028.325,2436.549,4028.325,4028.324875174825,0.22080298402679194,4028.325,4028.325,0.2208029689435726
559,SEP,US Auto Supplier 433,E,2015-08-04,USA,MODEL:ZR250VSDA8,1,4021.6420000000003,2856.5409999999997,4021.6420000000003,4021.6419151509026,0.3619200881953931,4021.6420000000003,4021.6420000000003,0.3619200786589766
560,SEP,US Auto Supplier 15,E,2015-06-26,USA,MODEL:ZR250VSDA8,1,4025.85,2385.53,4025.85,4025.8499344143993,0.2403932294635418,4025.85,4025.85,0.24039322104725575
561,SEP,US Auto Supplier 419,B,2016-03-30,USA,MODEL:ZR250VSDA8,1,4035.2,1620.385,4035.2,4035.1998829648123,0.23661797068362034,4035.2,4035.2,0.23661796042958663
562,SEP,US Auto Supplier 201,B,2015-08-31,USA,MODEL:ZR250VSDA8,1,4031.075,2058.345,4031.075,3984.5009663462415,0.2602538255877893,4031.075,4031.075,0.25401042673242036
563,SEP,US Auto Supplier 231,B,2015-12-21,USA,MODEL:ZR250VSDA8,2,4076.725,1548.8629999999998,4076.725,3383.3991848586493,0.21453729788192213,4076.725,4076.725,0.1444334613544397
564,SEP,US Auto Supplier 435,B,2015-06-10,USA,MODEL:ZR250VSDA8,1,4030.25,2084.738,4030.25,3899.162320591272,0.2148843029238902,4030.25,4030.25,0.19976674482632442
565,SEP,US Auto Supplier 258,B,2015-07-28,USA,MODEL:ZR250VSDA8,1,4027.775,2332.919,4027.775,4027.7749301663034,0.2305739763449325,4027.775,4027.775,0.23057396764259025
566,SEP,US Auto Supplier 316,E,2015-08-25,USA,MODEL:ZR250VSDA8,1,4027.775,2181.379,4027.775,4000.1881193895,0.2172568070772747,4027.775,4027.775,0.21397961113034897
567,SEP,US Auto Supplier 52,B,2015-01-04,USA,MODEL:ZR250VSDA8,1,4028.325,2506.947,4028.325,4028.324880695352,0.2294267966216639,4028.325,4028.325,0.22942678180825363
568,SEP,US Auto Supplier 502,E,2015-11-06,USA,MODEL:ZR250VSDA8,1,4032.45,2156.335,4032.45,3934.386769430278,0.19839539908046605,4032.45,4032.45,0.18768006363025622
569,SEP,US Auto Supplier 15,E,2015-06-27,USA,MODEL:ZR250VSDA8,1,4025.85,2385.53,4025.85,4025.8499344143993,0.2403932294635418,4025.85,4025.85,0.24039322104725575
570,SEP,US Auto Supplier 451,B,2015-09-11,USA,MODEL:ZR250VSDA8,2,4062.7,2084.806,4062.7,3902.8252631095447,0.21013038531558273,4062.7,4062.7,0.1922473300216618
571,SEP,US Auto Supplier 30,E,2016-03-16,USA,MODEL:ZR250VSDA8,1,4036.85,1560.513,4036.85,3472.925348088378,0.25387321357105874,4036.85,4036.85,0.18644615445401697
572,SEP,US Auto Supplier 669,E,2015-12-23,USA,MODEL:ZR250VSDA8,2,4068.75,1607.97,4068.75,3443.523802121904,0.21650739065893848,4068.75,4068.75,0.1517575267583116
